image_name,turning_angle
2025-06-16 17-32-49-715956.png,0.00
2025-06-16 17-32-50-035848.png,0.00
2025-06-16 17-32-50-375664.png,0.00
2025-06-16 17-32-50-704571.png,0.00
2025-06-16 17-32-51-120993.png,0.00
2025-06-16 17-32-51-465636.png,0.00
2025-06-16 17-32-51-809441.png,0.00
2025-06-16 17-32-52-166504.png,0.00
2025-06-16 17-32-52-471108.png,0.00
2025-06-16 17-32-52-809128.png,0.00
2025-06-16 17-32-53-128152.png,0.00
2025-06-16 17-32-53-513708.png,0.00
2025-06-16 17-32-53-901446.png,0.00
2025-06-16 17-32-54-251153.png,0.00
2025-06-16 17-32-54-581616.png,0.00
2025-06-16 17-32-54-912347.png,0.00
2025-06-16 17-32-55-255929.png,0.00
2025-06-16 17-32-55-595331.png,0.00
2025-06-16 17-32-56-018985.png,0.00
2025-06-16 17-32-56-402705.png,0.00
2025-06-16 17-32-56-777680.png,0.00
2025-06-16 17-32-57-034330.png,0.00
2025-06-16 17-32-57-346628.png,0.00
2025-06-16 17-32-57-657618.png,0.00
2025-06-16 17-32-57-938742.png,0.00
2025-06-16 17-32-58-232557.png,0.00
2025-06-16 17-32-58-571891.png,0.00
2025-06-16 17-32-58-901331.png,0.00
2025-06-16 17-32-59-228029.png,0.00
2025-06-16 17-32-59-567861.png,0.00
2025-06-16 17-32-59-987460.png,0.00
2025-06-16 17-33-00-319336.png,0.00
2025-06-16 17-33-00-655461.png,0.00
2025-06-16 17-33-01-028273.png,0.00
2025-06-16 17-33-01-523096.png,0.00
2025-06-16 17-33-01-711948.png,0.00
2025-06-16 17-33-01-991626.png,0.00
2025-06-16 17-33-02-293394.png,0.00
2025-06-16 17-33-02-621238.png,0.00
2025-06-16 17-33-02-959289.png,0.00
2025-06-16 17-33-03-376542.png,0.00
2025-06-16 17-33-03-717506.png,0.00
2025-06-16 17-33-04-062034.png,0.00
2025-06-16 17-33-04-391009.png,0.00
2025-06-16 17-33-04-755744.png,0.00
2025-06-16 17-33-05-095421.png,0.00
2025-06-16 17-33-05-430290.png,0.00
2025-06-16 17-33-05-873756.png,0.00
2025-06-16 17-33-06-204163.png,0.00
2025-06-16 17-33-06-542473.png,0.00
2025-06-16 17-33-06-876556.png,0.00
2025-06-16 17-33-07-221237.png,0.00
2025-06-16 17-33-07-558098.png,0.00
2025-06-16 17-33-07-875627.png,0.00
2025-06-16 17-33-08-299071.png,0.00
2025-06-16 17-33-08-642330.png,0.00
2025-06-16 17-33-08-975160.png,0.00
2025-06-16 17-33-09-316840.png,0.00
2025-06-16 17-33-09-639341.png,0.00
2025-06-16 17-33-09-977575.png,0.00
2025-06-16 17-33-10-310722.png,0.00
2025-06-16 17-33-10-681214.png,0.00
2025-06-16 17-33-11-032491.png,0.00
2025-06-16 17-33-11-365102.png,0.00
2025-06-16 17-33-11-707959.png,0.00
2025-06-16 17-33-12-031979.png,0.00
2025-06-16 17-33-12-391990.png,0.00
2025-06-16 17-33-12-710124.png,0.00
2025-06-16 17-33-13-041876.png,0.00
2025-06-16 17-33-13-426884.png,0.00
2025-06-16 17-33-13-731997.png,0.00
2025-06-16 17-33-14-073507.png,0.00
2025-06-16 17-33-14-414608.png,0.00
2025-06-16 17-33-14-755832.png,-0.01
2025-06-16 17-33-15-083581.png,-0.02
2025-06-16 17-33-15-414300.png,-0.02
2025-06-16 17-33-15-738537.png,-0.07
2025-06-16 17-33-16-061700.png,-0.08
2025-06-16 17-33-16-392880.png,-0.08
2025-06-16 17-33-16-782313.png,-0.08
2025-06-16 17-33-17-140492.png,-0.03
2025-06-16 17-33-17-479136.png,-0.02
2025-06-16 17-33-17-814126.png,-0.02
2025-06-16 17-33-18-162669.png,-0.07
2025-06-16 17-33-18-503724.png,-0.08
